image_id,image_name,class_id,class_name,x,y,width,height,is_training,image_path
24,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,001.Black_footed_Albatross,50.0,25.0,156.0,139.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg
25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,001.Black_footed_Albatross,172.0,106.0,265.0,214.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg
26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,001.Black_footed_Albatross,37.0,61.0,409.0,180.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg
27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,001.Black_footed_Albatross,65.0,62.0,309.0,345.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg
28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,001.Black_footed_Albatross,1.0,2.0,499.0,286.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg
29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,001.Black_footed_Albatross,97.0,3.0,235.0,254.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg
30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,0,001.Black_footed_Albatross,90.0,29.0,224.0,211.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,001.Black_footed_Albatross,38.0,15.0,314.0,301.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,0,001.Black_footed_Albatross,20.0,91.0,416.0,203.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg
33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,001.Black_footed_Albatross,82.0,52.0,260.0,260.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg
34,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,001.Black_footed_Albatross,66.0,115.0,360.0,214.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg
35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,0,001.Black_footed_Albatross,19.0,18.0,464.0,294.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg
36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,001.Black_footed_Albatross,72.0,40.0,286.0,225.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg
37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,001.Black_footed_Albatross,216.0,119.0,221.0,154.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg
38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,001.Black_footed_Albatross,40.0,4.0,368.0,445.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg
39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,001.Black_footed_Albatross,69.0,57.0,199.0,141.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg
40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0,001.Black_footed_Albatross,130.0,29.0,202.0,393.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg
41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,001.Black_footed_Albatross,53.0,46.0,302.0,317.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg
42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,001.Black_footed_Albatross,25.0,17.0,368.0,299.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg
43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,001.Black_footed_Albatross,137.0,64.0,287.0,156.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg
44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,001.Black_footed_Albatross,111.0,42.0,133.0,219.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg
45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,001.Black_footed_Albatross,58.0,51.0,388.0,211.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg
46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,001.Black_footed_Albatross,13.0,28.0,212.0,283.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg
47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,001.Black_footed_Albatross,5.0,127.0,496.0,131.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg
48,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,001.Black_footed_Albatross,113.0,260.0,127.0,130.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg
49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,001.Black_footed_Albatross,49.0,69.0,253.0,211.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg
50,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,0,001.Black_footed_Albatross,24.0,144.0,433.0,130.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg
51,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,0,001.Black_footed_Albatross,151.0,152.0,310.0,200.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg
52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,001.Black_footed_Albatross,157.0,45.0,103.0,324.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg
53,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,0,001.Black_footed_Albatross,60.0,29.0,432.0,355.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg
54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,001.Black_footed_Albatross,131.0,36.0,212.0,304.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg
55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,001.Black_footed_Albatross,152.0,86.0,120.0,141.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg
56,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,001.Black_footed_Albatross,2.0,45.0,189.0,120.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg
57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,001.Black_footed_Albatross,214.0,87.0,204.0,179.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg
58,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0,001.Black_footed_Albatross,46.0,24.0,197.0,117.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg
59,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,001.Black_footed_Albatross,72.0,29.0,224.0,262.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg
60,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,0,001.Black_footed_Albatross,96.0,77.0,260.0,170.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg
179,004.Groove_billed_Ani/Groove_Billed_Ani_0068_1538.jpg,1,004.Groove_billed_Ani,214.0,30.0,151.0,327.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0068_1538.jpg
180,004.Groove_billed_Ani/Groove_Billed_Ani_0094_1540.jpg,1,004.Groove_billed_Ani,17.0,87.0,433.0,262.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0094_1540.jpg
181,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,1,004.Groove_billed_Ani,140.0,76.0,141.0,297.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg
182,004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,1,004.Groove_billed_Ani,62.0,108.0,308.0,310.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg
183,004.Groove_billed_Ani/Groove_Billed_Ani_0080_1549.jpg,1,004.Groove_billed_Ani,113.0,88.0,216.0,268.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0080_1549.jpg
184,004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg,1,004.Groove_billed_Ani,61.0,41.0,230.0,414.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg
185,004.Groove_billed_Ani/Groove_Billed_Ani_0037_1560.jpg,1,004.Groove_billed_Ani,226.0,140.0,163.0,109.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0037_1560.jpg
186,004.Groove_billed_Ani/Groove_Billed_Ani_0017_1561.jpg,1,004.Groove_billed_Ani,63.0,90.0,435.0,199.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0017_1561.jpg
187,004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg,1,004.Groove_billed_Ani,115.0,62.0,323.0,286.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg
188,004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg,1,004.Groove_billed_Ani,71.0,43.0,320.0,245.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg
189,004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg,1,004.Groove_billed_Ani,200.0,149.0,111.0,117.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg
190,004.Groove_billed_Ani/Groove_Billed_Ani_0031_1588.jpg,1,004.Groove_billed_Ani,166.0,113.0,233.0,152.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0031_1588.jpg
191,004.Groove_billed_Ani/Groove_Billed_Ani_0107_1590.jpg,1,004.Groove_billed_Ani,170.0,73.0,145.0,212.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0107_1590.jpg
192,004.Groove_billed_Ani/Groove_Billed_Ani_0035_1591.jpg,1,004.Groove_billed_Ani,62.0,28.0,234.0,355.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0035_1591.jpg
193,004.Groove_billed_Ani/Groove_Billed_Ani_0109_1592.jpg,1,004.Groove_billed_Ani,86.0,100.0,161.0,329.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0109_1592.jpg
194,004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg,1,004.Groove_billed_Ani,61.0,52.0,377.0,290.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg
195,004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg,1,004.Groove_billed_Ani,205.0,140.0,182.0,173.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg
196,004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg,1,004.Groove_billed_Ani,228.0,28.0,187.0,281.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg
197,004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg,1,004.Groove_billed_Ani,166.0,86.0,207.0,214.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg
198,004.Groove_billed_Ani/Groove_Billed_Ani_0075_1617.jpg,1,004.Groove_billed_Ani,174.0,29.0,264.0,370.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0075_1617.jpg
199,004.Groove_billed_Ani/Groove_Billed_Ani_0029_1620.jpg,1,004.Groove_billed_Ani,102.0,103.0,209.0,342.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0029_1620.jpg
200,004.Groove_billed_Ani/Groove_Billed_Ani_0108_1639.jpg,1,004.Groove_billed_Ani,103.0,46.0,174.0,328.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0108_1639.jpg
201,004.Groove_billed_Ani/Groove_Billed_Ani_0100_1646.jpg,1,004.Groove_billed_Ani,165.0,86.0,126.0,156.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0100_1646.jpg
202,004.Groove_billed_Ani/Groove_Billed_Ani_0051_1650.jpg,1,004.Groove_billed_Ani,92.0,94.0,213.0,295.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0051_1650.jpg
203,004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg,1,004.Groove_billed_Ani,102.0,56.0,117.0,176.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg
204,004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg,1,004.Groove_billed_Ani,247.0,135.0,106.0,171.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg
205,004.Groove_billed_Ani/Groove_Billed_Ani_0046_1663.jpg,1,004.Groove_billed_Ani,68.0,157.0,242.0,220.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0046_1663.jpg
206,004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg,1,004.Groove_billed_Ani,24.0,58.0,432.0,238.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg
207,004.Groove_billed_Ani/Groove_Billed_Ani_0053_1672.jpg,1,004.Groove_billed_Ani,169.0,105.0,220.0,221.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0053_1672.jpg
208,004.Groove_billed_Ani/Groove_Billed_Ani_0088_1678.jpg,1,004.Groove_billed_Ani,131.0,101.0,175.0,230.0,0,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0088_1678.jpg
209,004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg,1,004.Groove_billed_Ani,147.0,142.0,148.0,208.0,1,D:/Coding Projects/Bird Classification AI/Local Repo/CS4413_Group_Project_AI/CUB_20\images\004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg
